id,nazwa,dlugosc,szerokosc
2,Witosa / Warszawska,21.14339,51.45219
3,Witosa / Działki,21.15060,51.45471
4,Witosa / Cmentarz,21.15478,51.45628
5,Warszawska / Barlickiego,21.14355,51.44895
6,Warszawska / Ofiar Firleja,21.14518,51.44352
7,Ofiar Firleja / Gombrowicza,21.14951,51.44497
8,Firlej / Cmentarz,21.15792,51.45053
9,Warszawska / Witosa,21.14272,51.45053
10,Witosa / Warszawska,21.14424,51.45257
11,Witosa / Działki,21.15178,51.45520
12,Witosa / Cmentarz,21.15558,51.45684
13,Warszawska / Barlickiego,21.14410,51.44607
14,Warszawska / Ofiar Firleja,21.14570,51.44088
15,Ofiar Firleja / Gombrowicza,21.14895,51.44468
18,Energetyków / Nowa Wola Gołębiowska,21.19298,51.44923
20,Energetyków / Gajl (NŻ),21.19130,51.44509
24,Osiowa / Krańcowa,21.11788,51.41403
25,Przytycka / Uniwersytecka,21.10677,51.40910
26,Wolanowska / Spadzista,21.10981,51.40304
27,Wolanowska / Stroma,21.10402,51.40285
28,Wolanowska / Milejowicka,21.09833,51.40317
29,Wolanowska / Areszt (NŻ),21.08927,51.40144
30,Wolanowska / Wapienna (NŻ),21.08376,51.40047
31,Wolanowska / Wapienna (NŻ),21.08028,51.39973
32,Wolanowska I (NŻ),21.07283,51.39837
33,Wolanowska II,21.06132,51.39614
34,Kielecka / Wolanowska,21.11612,51.40256
35,Kielecka / Garbarska (NŻ),21.11182,51.39951
36,Kielecka / Halinowska,21.10592,51.39535
37,Wolanowska / Spadzista,21.10952,51.40295
38,Wolanowska / Stroma,21.10307,51.40268
39,Wolanowska I (NŻ),21.07086,51.39787
40,Wolanowska II,21.06227,51.39615
41,Kielecka / Garbarska (NŻ),21.11069,51.39855
42,Kielecka / Halinowska,21.10550,51.39487
43,Przytycka / Uniwersytecka,21.10870,51.40860
44,Warszawska / Janiszewska (NŻ),21.14781,51.43506
45,Warszawska / Rondo,21.14955,51.42945
46,Żółkiewskiego / Sobieskiego,21.15929,51.42571
47,Os. Michałów,21.16064,51.42971
48,Mieszka I / Piastowska,21.16599,51.43230
49,Malczewskiego / Kelles-Krauza,21.15026,51.40459
50,Warszawska / Kusocińskiego,21.15420,51.41105
51,Warszawska / 11 Listopada,21.15442,51.41372
52,Warszawska / Rybna (NŻ),21.15297,51.41835
53,Warszawska / Klejowa (NŻ),21.15178,51.42224
54,11 Listopada / Starowolska,21.15857,51.41411
55,Żwirki i Wigury / Kusocińskiego,21.16536,51.41033
56,Kusocińskiego / Żwirki i Wigury,21.16396,51.40968
57,Kusocińskiego / Chrobrego,21.15982,51.41017
58,Chrobrego / Sowińskiego,21.16005,51.41195
59,Chrobrego / Mierzejewskiego,21.16327,51.41857
61,Paderewskiego / Sempołowskiej,21.17071,51.41746
62,Os. Gołębiów II / Paderewskiego,21.17474,51.41629
63,Chrobrego / Rapackiego,21.16287,51.42222
64,Żwirki i Wigury / 11 Listopada,21.16528,51.41252
65,11 Listopada / Żwirki i Wigury,21.16673,51.41278
66,11 Listopada / Sportowa,21.16918,51.41249
67,Kielecka / Przytycka,21.11942,51.40470
68,Kielecka / Przytycka,21.12124,51.40618
70,Langiewicza / al. Róż (NŻ),21.12233,51.40976
71,Langiewicza / Osiowa,21.12226,51.41245
72,Osiowa / Langiewicza,21.12164,51.41298
73,Czarnieckiego / Zielona,21.12802,51.41092
76,Zielona / Janiszew,21.12298,51.41990
77,Rodziny Winczewskich / Warszawska,21.15216,51.40920
78,Obozisko,21.14732,51.40977
80,Wernera / Mireckiego,21.14086,51.40951
81,Mireckiego / Wernera,21.14218,51.40834
82,Wernera / Chłodna,21.13538,51.41058
83,Chłodna / Folwarczna,21.13592,51.41112
84,Folwarczna / Iglasta,21.13908,51.41396
85,Struga / pl. Jagielloński,21.15488,51.40489
86,Struga / Zbrowskiego,21.17218,51.40839
87,Kelles-Krauza / 25 Czerwca,21.16192,51.40295
88,25 Czerwca / Skłodowskiej-Curie,21.16356,51.40217
89,25 Czerwca / Skłodowskiej-Curie,21.16308,51.40090
90,Żeromskiego / Czachowskiego,21.16653,51.39985
91,Żeromskiego / Czachowskiego,21.16802,51.39961
92,Zbrowskiego / Leśniczówka,21.17081,51.40236
93,Zbrowskiego / Leśniczówka,21.17149,51.40393
94,Zbrowskiego / Olsztyńska,21.17289,51.40674
95,Średnia / Puławska,21.17447,51.39624
96,25 Czerwca / Kaufland,21.16197,51.39855
97,Słowackiego / Nowogrodzka,21.16230,51.39711
98,Sienkiewicza / Katedra,21.15782,51.39758
99,Mickiewicza / Katedra,21.15578,51.39712
100,Traugutta / Piłsudskiego,21.15109,51.39784
101,Narutowicza / Podwalna,21.14308,51.39837
102,Narutowicza / Kościuszki,21.15008,51.39690
